,code site,lat,lon
586,FR50227,43.60883,3.895721
587,FR25049,49.30487,1.214367
588,FR25500,49.4393,1.088
589,FR35023,45.263615,1.763889
590,FR03021,43.524075,5.448164
591,FR14802,49.263817,4.048806
592,FR19005,48.08861,-1.659722
593,FR25034,49.378246,1.001322
594,FR38002,-20.903294,55.468334
595,FR04099,48.840557,2.484444
596,FR39010,14.613844,-61.06349
597,FR01060,49.16885,6.212669
598,FR02030,43.47201,5.167704
599,FR31055,43.888973,-0.507028
600,FR24011,43.68519,7.211174
601,FR02014,43.42533,4.996785
602,FR34064,48.006935,2.740111
603,FR43099,-12.761174,45.226196
604,FR30018,48.024605,6.585836
605,FR36007,44.675938,4.673586
606,FR31041,43.8961,-0.491403
607,FR82030,47.29464,6.825861
608,FR19014,48.39746,-4.48871
609,FR34030,47.075043,2.407183
610,FR10032,50.69435,1.57657
611,FR07051,45.769,3.155
612,FR31027,43.03361,-1.035278
613,FR14852,49.88245,4.741405
614,FR19018,48.082882,-1.834583
615,FR16069,47.747684,7.321364
616,FR34046,48.729694,1.358472
617,FR41059,41.92575,8.738278
618,FR02024,43.457077,4.428002
619,FR04324,48.761665,3.058333
620,FR82200,47.2425,6.0152
621,FR31014,43.307777,-0.322778
622,FR04100,48.881947,2.507222
623,FR39014,14.468869,-60.927418
624,FR27002,45.36782,4.805147
625,FR19016,48.359444,-4.568055
626,FR35903,45.8781,1.3305
627,FR42012,48.69451,6.965651
628,FR07014,44.898335,2.420194
629,FR14051,49.745277,4.719167
630,FR16029,48.610363,7.781631
631,FR07047,46.4409,3.361061
632,FR31016,43.47982,-1.489157
633,FR08714,42.6955,2.90053
634,FR06001,50.35853,3.50804
635,FR82042,47.065628,5.415061
636,FR09304,46.823795,-0.135634
637,FR36022,44.622276,4.384979
638,FR04319,48.95555,2.575278
639,FR33202,45.916943,6.135556
640,FR16054,48.074444,7.3505554
641,FR10003,51.05206,2.35378
642,FR20068,45.936275,4.796111
643,FR41007,41.949223,8.757583
644,FR28023,50.496506,2.86725
645,FR09302,46.143234,-0.395913
646,FR01005,49.324722,6.076108
647,FR08017,43.5705,3.9118
648,FR41063,41.947685,8.796159
649,FR30033,49.06583,5.785556
650,FR20064,45.650616,4.816911
651,FR18053,49.90167,2.304597
652,FR03047,43.296967,5.383156
653,FR15043,45.1619,5.7356
654,FR01012,49.110283,6.223336
655,FR02031,43.415688,5.216875
656,FR31010,45.01478,-0.533942
657,FR07061,45.89674,3.122254
658,FR39015,14.607444,-61.06978
659,FR09008,46.135136,-1.117086
660,FR08016,43.5915,3.88681
661,FR32014,46.797363,4.853842
662,FR04049,48.679443,2.165556
663,FR25035,49.358215,1.007853
664,FR28022,50.30886,2.807369
665,FR23230,47.253036,-2.332025
666,FR35019,45.875835,0.823951
667,FR05084,49.493332,0.571853
668,FR24014,44.09469,6.988978
669,FR31045,44.833824,-0.598525
670,FR04158,49.063087,1.866381
671,FR03029,43.530285,5.440912
672,FR01065,49.16778,5.387461
673,FR05056,49.47372,0.526158
674,FR12017,43.928055,2.1625
675,FR25054,49.434162,1.0670527
676,FR02023,43.788376,4.83465
677,FR23068,47.247353,-1.936522
678,FR23075,47.315643,-2.190408
679,FR34012,47.836617,1.927694
680,FR07055,44.984444,4.2260833
681,FR32001,46.78231,4.847322
682,FR19015,48.41193,-4.47506
683,FR35007,45.87331,1.307916
684,FR21035,49.63639,-1.626667
685,FR34063,47.586544,1.326533
686,FR32005,46.678783,4.366893
687,FR18049,49.61311,3.223342
688,FR35003,45.8311,1.256875
689,FR04122,48.528057,2.653611
690,FR11007,50.640793,3.074772
691,FR31031,44.913055,-0.384444
692,FR12085,43.610386,1.4152
693,FR34056,46.86453,1.771944
694,FR01016,48.886387,6.093611
695,FR19008,47.83192,-1.83633
696,FR14031,48.301666,4.076944
697,FR12057,43.11442,1.622586
698,FR22005,49.157528,6.744167
699,FR40008,4.9378467,-52.32093
700,FR42011,48.81835,7.786409
701,FR35002,45.88485,0.898431
702,FR04180,48.64093,2.26872
703,FR14011,49.250732,4.023064
704,FR28010,50.44914,2.9
705,FR34028,47.394638,0.704861
706,FR30030,48.614914,6.107672
707,FR25053,49.4367,1.098838
708,FR07032,45.894196,3.115056
709,FR18079,49.87722,2.2825
710,FR28024,50.642612,2.723889
711,FR40004,4.932214,-52.310226
712,FR29439,45.481777,4.429667
713,FR82001,47.235973,6.023611
714,FR10031,50.71247,1.6081
715,FR05037,49.503906,0.175731
716,FR25044,49.389496,1.030703
717,FR03084,43.960144,4.856731
718,FR14853,49.73631,4.824764
719,FR04156,48.902504,2.4525
720,FR18042,49.851334,3.284
721,FR14801,49.233612,4.056939
722,FR09105,45.886185,0.581483
723,FR34043,48.39114,1.955611
724,FR01066,49.305088,6.101194
725,FR30037,48.656944,6.136022
726,FR42010,48.572807,7.767833
727,FR16031,48.85731,7.314175
728,FR07020,46.06028,3.515139
729,FR03060,43.101566,5.875404
730,FR16052,47.810932,7.105553
731,FR04055,48.86212,2.344616
